,target,feature_4,feature_5,feature_7,feature_11,feature_16,feature_19,feature_25,feature_26
106,0,-0.18304247,-1.0902861,0.20103255,-0.66902775,0.061067283,-0.13942535,0.1276462,-1.4564017
107,0,0.1315172,-1.2029557,-1.7771147,-0.3997479,-2.3244982,-0.59948444,-0.17104414,-1.3265467
108,0,-1.4993849,-0.008449855,-1.0804726,1.1671149,-1.4485674,-0.38561323,-1.9592339,0.27771488
109,0,-0.65907454,0.23010004,-0.47307596,-2.0229702,-0.4677138,-1.4830217,-0.44054696,-1.2519864
110,0,-1.5987978,0.5978805,0.30833092,-1.5402571,-0.08492839,-0.83735794,0.4426512,-0.015184643
111,0,1.1931137,-1.037527,-1.1803349,-0.37054646,0.9577855,0.08773507,-0.90809625,-0.8984777
112,0,0.3037041,0.36323705,1.6015121,-1.4513645,2.2806058,0.8263728,0.112107225,-1.2944249
113,0,-1.0283692,-1.2828137,-2.7042215,1.3889039,-0.9979515,-0.77006745,0.30423108,-0.1084082
114,0,-1.3239692,-1.6029236,-1.5858005,-1.026593,-1.3726983,-0.59032613,0.2699367,-0.07774485
115,0,-1.0952063,0.7115086,-0.83944887,-0.58178335,-0.580449,-1.418699,-0.06339105,0.55833435
